id,subsidy_name,category,target_age_min,target_age_max,target_family,target_income_max,target_region,target_conditions,amount,amount_raw,urgency,difficulty,recommendation_type,summary,reason,official_url,tags,detail_description,eligibility,application_period,application_method,region_group,municipality,relocation_support_flag,relocation_priority,recommended_area_reason
1,こどもエコすまい支援事業,子育て|住宅,18,99,child|couple,9999,national,child|housing_purchase,最大100万円,100,high,medium,now,子育て世帯や若者夫婦世帯が省エネ性能の高い新築住宅を取得する際に補助金が受け取れる制度です。,子育て世帯に該当し住宅取得を検討中のため優先度が高い制度です。,#,子育て|住宅|省エネ,"子育て世帯・若者夫婦世帯による省エネ住宅の取得を国が支援する補助金です。ZEH水準を満たす新築住宅の建築・購入に対し最大100万円が補助されます。住宅事業者経由で申請します。","18歳未満の子どもがいる世帯または夫婦のいずれかが39歳以下の若者夫婦世帯。省エネ基準（ZEH水準）を満たす新築住宅の取得が対象。","2024年4月1日〜2025年3月31日（予算上限に達し次第終了）","住宅事業者（建設会社・不動産会社）を通じた代理申請。まず対応住宅事業者に相談の上、事業者が申請手続きを代行します。",,,,,
2,大阪市子育て支援給付金,子育て,0,99,child,600,osaka,child,月額最大1.5万円,18,high,low,now,大阪市在住の子育て世帯を対象に毎月の養育費用を支援する給付金制度です。,大阪市在住で子育て中のため今すぐ申請できる可能性が高い制度です。,#,子育て|給付金|大阪,"大阪市在住の子育て世帯に毎月の養育費用を支援する給付金制度です。0〜15歳の子どもがいる世帯に対して月額最大1.5万円が給付されます。","大阪市在住で0〜15歳の子どもがいる世帯。年収600万円未満が目安。","通年受付（毎月申請可能）","大阪市の子育て支援課窓口またはオンラインで申請。必要書類：住民票・子どもの健康保険証・所得証明書。",,,,,
3,大阪府移住支援金,移住,18,99,all,9999,osaka,relocation,最大100万円,100,medium,medium,future,大阪府外から大阪府内に移住する方に対して移住費用を支援する補助金制度です。,移住予定がある場合に大きな支援が受けられる将来向けの制度です。,#,移住|大阪|補助金,"大阪府外から大阪府内に移住する方を対象に移住に伴う費用を支援する補助金です。単身者には最大60万円、世帯には最大100万円が支給されます。","大阪府外から大阪府内に転入した方。転入日から1年以内に申請が必要。東京23区在住者または就業者は優先採択。","転入後1年以内に申請（通年受付）","大阪府の移住支援窓口またはオンラインポータルから申請。必要書類：転入届受理証明書・就労証明書など。",,,,,
4,住宅ローン減税,住宅,18,99,all,9999,national,housing_purchase,年間最大21万円,21,low,medium,future,住宅ローンを利用して住宅を取得した場合に所得税から控除が受けられる減税制度です。,住宅購入予定がある場合に長期的に税負担を軽減できる制度です。,#,住宅|税控除|ローン,"住宅ローンを利用して住宅を取得した場合に年末残高の0.7%が最大13年間にわたって所得税から控除される制度です。控除しきれない場合は住民税からも控除されます。","住宅ローン残高がある方。床面積50㎡以上の住宅（一定条件下では40㎡以上）。入居年の合計所得金額が2000万円以下。","入居した年の翌年2月〜3月の確定申告期間","初年度は確定申告が必要。税務署または国税庁のe-Taxで申請。2年目以降は会社員の場合は年末調整で対応可能。",,,,,
5,教育費支援給付金,教育,18,99,child,800,national,child,年間最大12万円,12,low,low,future,子どもの教育費用を支援するため年間を通じて給付金が受け取れる制度です。,子育て中の世帯の教育費負担を軽減するために活用できる将来向け制度です。,#,教育|子育て|給付金,"子どもの教育費用の負担を軽減するため年間を通じて給付金が受け取れる制度です。小中学校の就学に要する費用を対象に年間最大12万円が給付されます。","小中学校に在籍する子どもがいる世帯で年収800万円未満の家庭。","毎年4月〜6月（年度更新が必要）","就学援助として市区町村の教育委員会に申請。学校経由で申請書を配布・回収する自治体も多い。",,,,,
6,大阪府創業支援補助金,起業,18,60,all,9999,osaka,startup,最大200万円,200,medium,high,future,大阪府内で新たに創業する方を対象に創業費用の一部を補助する制度です。,起業を検討している場合に大阪府から大きな支援が受けられます。,#,起業|大阪|補助金,"大阪府内で新たに創業する方を対象に事業開始に必要な費用の一部を補助する制度です。設備購入費・広告費・専門家報酬など対象経費の2/3以内で最大200万円が補助されます。","大阪府内で創業予定または創業後1年以内の方。18〜60歳。個人事業主または法人設立後間もない方が対象。","年2回（前期：4月〜6月、後期：9月〜11月）","大阪府の中小企業支援センターに申請書類を提出。事業計画書の作成が必要で採択後に補助金交付決定通知が届く。",,,,,
7,就職支援給付金,就業,18,65,all,400,national,employment,最大30万円,30,high,low,now,就職活動中または再就職を目指す方に対して求職活動の費用を支援する給付金です。,就業状況の変化があった場合にすぐ活用できる緊急性の高い制度です。,#,就業|給付金|求職,"就職活動中または再就職を目指す方に対し求職活動に要する費用を支援する給付金です。交通費・資格取得費用などが対象で最大30万円が支給されます。","ハローワークに求職登録している18〜65歳の方。年収400万円未満。雇用保険の給付を受けていない方。","求職活動期間中（ハローワーク登録から6ヶ月以内）","最寄りのハローワークに申請書と領収書を提出。担当者に相談の上、申請書類を準備する。",,,,,
8,介護休業給付金,介護,18,99,all,9999,national,nursing,賃金の最大67%,150,medium,medium,now,家族の介護のために休業した場合に休業中の収入を補填する給付金制度です。,介護中または介護予定がある方にとって収入を守る重要な制度です。,#,介護|給付金|休業,"家族の介護のために仕事を休業した際に雇用保険から給付される制度です。介護休業中の収入を賃金の最大67%で補填し対象家族1人につき最長93日間の取得が可能です。","雇用保険に加入している方で家族の介護のために休業が必要な状況。対象家族：配偶者・父母・子ども・祖父母など。","休業開始日の翌日から8日以内に事業主経由でハローワークに申請","勤務先の人事・総務部門を通じて申請。事業主がハローワークに支給申請書を提出。休業証明書と介護が必要な事実を証明する書類が必要。",,,,,
9,省エネ住宅改修補助金,住宅|省エネ,18,99,all,9999,national,housing_purchase,最大30万円,30,medium,medium,now,既存住宅を省エネ性能の高い設備に改修する場合に費用の一部を補助する制度です。,住宅改修や省エネ化を検討している世帯に活用できる制度です。,#,住宅|省エネ|改修,"既存住宅を省エネ性能の高い設備に改修する際に工事費用の一部を補助する制度です。断熱改修・高効率給湯器の設置・窓の断熱化などが対象となり最大30万円が補助されます。","自ら居住する既存住宅を改修する方。賃貸住宅の所有者も申請可能。改修後の省エネ性能が一定基準を満たすことが条件。","2024年4月1日〜2025年3月31日（予算上限に達し次第終了）","登録施工業者経由で申請。まず省エネ改修に対応した登録業者に相談し業者が代理申請を行う仕組み。",,,,,
10,保育料無償化,子育て,0,99,child,9999,national,child,月額最大3.7万円,44,high,low,now,3歳から5歳の子どもの保育所や幼稚園の利用料が無償になる制度です。,子育て中の世帯で保育施設を利用している場合にすぐ適用される制度です。,#,子育て|保育|無償化,"3歳から5歳の子どもの保育所・幼稚園・認定こども園などの利用料が原則無償になる制度です。0〜2歳は住民税非課税世帯の子どもが対象で月額最大4.2万円まで無償化されます。","3〜5歳：すべての子ども。0〜2歳：住民税非課税世帯の子ども。認可保育施設に在籍していることが条件。","保育施設への入園手続きと同時に自動的に適用（別途申請不要の場合が多い）","子どもが在籍する保育施設または市区町村の子育て支援課に確認。基本的に入園後に施設から案内が届く。",,,,,
11,ひとり親家庭医療費助成,子育て|医療,0,99,single|child,500,osaka,single|child,医療費の一部助成,10,high,low,now,大阪府内のひとり親家庭を対象に医療費の自己負担分を助成する制度です。,ひとり親家庭の医療費負担を軽減するための緊急性の高い支援制度です。,#,子育て|医療|ひとり親|大阪,"大阪府内のひとり親家庭を対象に医療費の自己負担分を助成する制度です。子どもの医療費を一部または全額助成することでひとり親家庭の生活を支援します。","大阪府内在住のひとり親家庭（母子家庭・父子家庭）。子どもが18歳未満（高校在学中は20歳未満）。年収500万円未満。","通年受付（月1回申請または自動還付）","市区町村の福祉事務所で受給者証を取得。医療機関受診時に受給者証を提示することで自己負担が軽減される。",,,,,
12,関西移住促進補助金,移住,18,99,all,9999,kansai,relocation,最大50万円,50,low,medium,future,関西圏への移住を促進するため移住費用の一部を補助する制度です。,関西への移住を検討している場合に将来的に活用できる制度です。,#,移住|関西|補助金,"関西圏への移住を促進するため移住に要する費用の一部を補助する制度です。引越し費用や住居取得費用の一部として最大50万円が補助されます。","関西圏（大阪・兵庫・京都・奈良・滋賀・和歌山）以外から移住する方。移住後6ヶ月以内の申請が必要。","転入後6ヶ月以内（通年受付）","移住先の都道府県の移住支援窓口に申請書類を提出。転入届の写し・引越し費用の領収書などが必要。",,,,,
