id,subsidy_name,category,target_age_min,target_age_max,target_family,target_income_max,target_region,target_conditions,amount,amount_raw,urgency,difficulty,recommendation_type,summary,reason,official_url,tags,detail_description,eligibility,application_period,application_method,region_group,municipality,relocation_support_flag,relocation_priority,recommended_area_reason
1,こどもエコすまい支援事業,子育て|住宅,18,99,child|couple,9999,national,child|housing_purchase,最大100万円,100,high,medium,now,省エネ住宅を取得する子育て・若者夫婦世帯に補助金が受け取れる制度です。,子育て世帯で住宅取得を検討中のため優先度が高い制度です。,#,子育て|住宅|省エネ,"子育て世帯・若者夫婦世帯による省エネ住宅の取得を国が支援する補助金です。ZEH水準を満たす新築住宅の建築・購入に対し最大100万円が補助されます。住宅事業者経由で申請します。","18歳未満の子どもがいる世帯または夫婦のいずれかが39歳以下の若者夫婦世帯。省エネ基準（ZEH水準）を満たす新築住宅の取得が対象。","2024年4月1日〜2025年3月31日（予算上限に達し次第終了）","住宅事業者（建設会社・不動産会社）を通じた代理申請。まず対応住宅事業者に相談の上、事業者が申請手続きを代行します。",,,,,
2,大阪市子育て支援給付金,子育て,0,99,child,600,osaka,child,月額最大1.5万円,18,high,low,now,大阪市在住の子育て世帯に毎月の養育費を支援する給付金制度です。,大阪市在住で子育て中のため今すぐ申請できます。,#,子育て|給付金|大阪,"大阪市在住の子育て世帯に毎月の養育費用を支援する給付金制度です。0〜15歳の子どもがいる世帯に対して月額最大1.5万円が給付されます。","大阪市在住で0〜15歳の子どもがいる世帯。年収600万円未満が目安。","通年受付（毎月申請可能）","大阪市の子育て支援課窓口またはオンラインで申請。必要書類：住民票・子どもの健康保険証・所得証明書。",,,,,
4,住宅ローン減税,住宅,18,99,all,9999,national,housing_purchase,年間最大21万円,21,low,medium,future,住宅ローン利用時に所得税から控除が受けられる減税制度です。,住宅購入予定があれば長期的に税負担を軽減できます。,#,住宅|税控除|ローン,"住宅ローンを利用して住宅を取得した場合に年末残高の0.7%が最大13年間にわたって所得税から控除される制度です。控除しきれない場合は住民税からも控除されます。","住宅ローン残高がある方。床面積50㎡以上の住宅（一定条件下では40㎡以上）。入居年の合計所得金額が2000万円以下。","入居した年の翌年2月〜3月の確定申告期間","初年度は確定申告が必要。税務署または国税庁のe-Taxで申請。2年目以降は会社員の場合は年末調整で対応可能。",,,,,
7,就職支援給付金,就業,18,65,all,400,national,employment,最大30万円,30,high,low,now,就職・再就職を目指す方の求職活動費用を支援する給付金です。,就業状況に変化があった場合にすぐ活用できます。,#,就業|給付金|求職,"就職活動中または再就職を目指す方に対し求職活動に要する費用を支援する給付金です。交通費・資格取得費用などが対象で最大30万円が支給されます。","ハローワークに求職登録している18〜65歳の方。年収400万円未満。雇用保険の給付を受けていない方。","求職活動期間中（ハローワーク登録から6ヶ月以内）","最寄りのハローワークに申請書と領収書を提出。担当者に相談の上、申請書類を準備する。",,,,,
8,介護休業給付金,介護,18,99,all,9999,national,nursing,賃金の最大67%,150,medium,medium,now,家族介護のために休業した際に収入を補填する給付金制度です。,介護中・介護予定の方の収入を守る重要な制度です。,#,介護|給付金|休業,"家族の介護のために仕事を休業した際に雇用保険から給付される制度です。介護休業中の収入を賃金の最大67%で補填し対象家族1人につき最長93日間の取得が可能です。","雇用保険に加入している方で家族の介護のために休業が必要な状況。対象家族：配偶者・父母・子ども・祖父母など。","休業開始日の翌日から8日以内に事業主経由でハローワークに申請","勤務先の人事・総務部門を通じて申請。事業主がハローワークに支給申請書を提出。休業証明書と介護が必要な事実を証明する書類が必要。",,,,,
10,保育料無償化,子育て,0,99,child,9999,national,child,月額最大3.7万円,44,high,low,now,3〜5歳の保育所・幼稚園の利用料が無償になる制度です。,保育施設を利用中の子育て世帯にすぐ適用されます。,#,子育て|保育|無償化,"3歳から5歳の子どもの保育所・幼稚園・認定こども園などの利用料が原則無償になる制度です。0〜2歳は住民税非課税世帯の子どもが対象で月額最大4.2万円まで無償化されます。","3〜5歳：すべての子ども。0〜2歳：住民税非課税世帯の子ども。認可保育施設に在籍していることが条件。","保育施設への入園手続きと同時に自動的に適用（別途申請不要の場合が多い）","子どもが在籍する保育施設または市区町村の子育て支援課に確認。基本的に入園後に施設から案内が届く。",,,,,
11,ひとり親家庭医療費助成,子育て|医療,0,99,single|child,500,osaka,single|child,医療費の一部助成,10,high,low,now,大阪府のひとり親家庭の医療費自己負担分を助成する制度です。,ひとり親家庭の医療費負担を軽減するおすすめ度の高い制度です。,#,医療|ひとり親|大阪,"大阪府内のひとり親家庭を対象に医療費の自己負担分を助成する制度です。子どもの医療費を一部または全額助成することでひとり親家庭の生活を支援します。","大阪府内在住のひとり親家庭（母子家庭・父子家庭）。子どもが18歳未満（高校在学中は20歳未満）。年収500万円未満。","通年受付（月1回申請または自動還付）","市区町村の福祉事務所で受給者証を取得。医療機関受診時に受給者証を提示することで自己負担が軽減される。",,,,,
14,物価高騰対策給付金,生活支援,0,99,all,9999,national,low_income|all,7万円,7,high,low,now,物価高の影響を受ける低所得世帯に生活費を給付する制度です。,影響を受けている世帯がすぐ受け取れる緊急支援です。,#,生活支援|給付金|物価高,"物価高騰の影響を受けている低所得世帯に対し生活費の負担を軽減するための給付金です。住民税非課税世帯を中心に1世帯あたり7万円が一括給付されます。","2024年度の住民税が非課税の世帯または2024年に家計急変があった世帯。","2024年6月〜2025年2月（自治体により異なる）","自治体から送付される確認書または申請書に記入して返送。銀行口座への振込で給付される。多くの場合は自治体からの通知を待つ形。",,,,,
16,育児休業給付金,子育て|就業,18,99,child,9999,national,child,賃金の最大80%,200,high,low,now,育児休業中の収入を賃金の最大80%で保障する給付制度です。,雇用保険加入の子育て世帯ならすぐ申請できます。,#,子育て|育休|給付金,"育児休業中の収入を保障するため雇用保険から給付される制度です。育休開始後6ヶ月は賃金の67%、その後は50%が給付されます。夫婦同時取得の場合は最大80%に引き上げられる特例もあります。","雇用保険に加入し育児休業を取得する男女。子どもが1歳（延長の場合は最長2歳）になるまでが対象期間。育休前2年間に一定の雇用保険加入期間が必要。","育休開始から4ヶ月以内（ハローワークへの届出）","勤務先の人事・総務部門を通じてハローワークに申請。給与明細・休業証明書などの書類を会社経由で提出する。",,,,,
6,大阪府創業支援補助金,起業,18,60,all,9999,osaka,startup,最大200万円,200,medium,high,future,大阪府内で創業する方の創業費用の一部を補助する制度です。,起業を検討中なら大阪府から大きな支援が受けられます。,#,起業|大阪|補助金,"大阪府内で新たに創業する方を対象に事業開始に必要な費用の一部を補助する制度です。設備購入費・広告費・専門家報酬など対象経費の2/3以内で最大200万円が補助されます。","大阪府内で創業予定または創業後1年以内の方。18〜60歳。個人事業主または法人設立後間もない方が対象。","年2回（前期：4月〜6月、後期：9月〜11月）","大阪府の中小企業支援センターに申請書類を提出。事業計画書の作成が必要で採択後に補助金交付決定通知が届く。",,,,,
